1211;Etne;734.28;1969;2050
1214;Ølen;x;1969;2001
1216;Sveio;245.15;1969;2050
1219;Bømlo;245.57;1969;2050
1221;Stord;142.70;1969;2050
1222;Fitjar;141.45;1969;2050
1223;Tysnes;254.12;1969;2050
1224;Kvinnherad;1089.74;1969;2050
1227;Jondal;246.07;1969;2050
1228;Odda;1614.90;1969;2050
1230;Ullensvang;x;1969;1976
1231;Ullensvang;1397.53;1969;2050
1232;Eidfjord;1490.47;1969;2050
1233;Ulvik;721.01;1969;2050
1234;Granvin;210.29;1969;2050
1235;Voss;1804.81;1969;2050
1238;Kvam;615.51;1969;2050
1241;Fusa;376.83;1969;2050
1242;Samnanger;268.07;1969;2050
1243;Os;138.58;1969;2050
1244;Austevoll;116.19;1969;2050
1245;Sund;98.54;1969;2050
1246;Fjell;147.17;1969;2050
1247;Askøy;100.12;1969;2050
1248;x;x;1969;1971
1249;Fana;x;1969;1971
1250;Arna;x;1969;1971
1251;Vaksdal;714.37;1969;2050
1252;Modalen;410.99;1969;2050
1253;Osterøy;254.12;1969;2050
1255;x;x;1969;1971
1256;Meland;91.58;1969;2050
1259;Øygarden;65.80;1969;2050
1260;Radøy;110.45;1969;2050
1263;Lindås;473.99;1969;2050
1264;Austrheim;56.56;1969;2050
1265;Fedje;8.27;1969;2050
1266;Masfjorden;555.07;1969;2050
1401;Flora;692.06;1969;2050
1411;Gulen;596.21;1969;2050
1412;Solund;227.25;1969;2050
1413;Hyllestad;257.91;1969;2050
1416;Høyanger;906.65;1969;2050
1417;Vik;832.34;1969;2050
1418;Balestrand;428.67;1969;2050
1419;Leikanger;179.11;1969;2050
1420;Sogndal;744.84;1969;2050
1421;Aurland;1466.70;1969;2050
1422;Lærdal;1341.47;1969;2050
1424;Årdal;975.59;1969;2050
1426;Luster;2705.23;1969;2050
1428;Askvoll;325.17;1969;2050
1429;Fjaler;415.62;1969;2050
1430;Gaular;580.82;1969;2050
1431;Jølster;669.87;1969;2050
1432;Førde;584.96;1969;2050
1433;Naustdal;368.49;1969;2050
1438;Bremanger;832.12;1969;2050
1439;Vågsøy;175.70;1969;2050
1441;Selje;225.12;1969;2050
1443;Eid;468.24;1969;2050
1444;Hornindal;190.61;1969;2050
1445;Gloppen;1029.51;1969;2050
1448;Stryn;x;1969;1976
1449;Stryn;1376.22;1976;2050
1501;Ålesund;x;1969;1976
1502;Molde;361.69;1969;2050
1503;Kristiansund;x;1969;2007
1504;Ålesund;97.65;1976;2050
1505;Kristiansund;86.38;2007;2050
1511;Vanylven;384.22;1969;2050
1514;Sande;92.21;1969;2050
1515;Herøy;118.52;1969;2050
1516;Ulstein;96.19;1969;2050
1517;Hareid;81.27;1969;2050
1519;Volda;546.23;1969;2050
1520;Ørsta;803.44;1969;2050
1523;Ørskog;131.36;1976;2050
1524;Norddal;942.51;1969;2050
1525;Stranda;864.87;1969;2050
1526;Stordal;246.07;1969;2050
1527;Ørskog;x;1969;1976
1528;Sykkylven;336.80;1969;2050
1529;Skodje;119.03;1969;2050
