"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"2017 Kvalsund";"Jordbruksareal i drift";3832;1968;2152;2024;2049;1821;1691;1488;1264;1425;1420;1457;1463;1589;1617;1087;1065;1009;865;836;325;..
"2018 Måsøy";"Jordbruksareal i drift";1316;554;267;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019 Nordkapp";"Jordbruksareal i drift";197;0;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2020 Porsanger - Porsángu - Porsanki";"Jordbruksareal i drift";12351;9407;8815;8519;9338;9524;9028;9150;8828;8825;8785;8860;8849;8801;8816;8512;9307;8864;8639;8747;8919;8921
"2021 Kárásjohka - Karasjok";"Jordbruksareal i drift";9959;8830;9667;10373;10102;9172;9040;7940;7331;7183;6823;6747;6206;6429;6338;6365;6355;6622;6645;6720;6679;6617
"2022 Lebesby";"Jordbruksareal i drift";2984;2283;2293;1682;1634;1700;1732;1772;1800;1782;1789;1957;2023;1875;1769;1815;1779;1658;1591;1565;1446;1460
"2023 Gamvik";"Jordbruksareal i drift";1251;1223;1379;606;469;495;441;282;298;284;289;289;289;289;272;239;239;244;244;..;..;211
"2024 Berlevåg";"Jordbruksareal i drift";519;..;453;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"2025 Deatnu - Tana";"Jordbruksareal i drift";17396;24290;22556;26152;25621;24728;24767;24358;24901;24715;24761;24260;24559;24803;25423;25444;25491;24821;25416;25242;25565;25970
"2027 Unjárga - Nesseby";"Jordbruksareal i drift";5497;3388;2601;2681;2615;2596;2720;2538;2370;2213;2695;3161;3509;3698;3714;4153;4178;4506;4132;4288;4214;3920
"2028 Båtsfjord";"Jordbruksareal i drift";316;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2030 Sør-Varanger";"Jordbruksareal i drift";10728;9664;8059;8367;8928;8875;8831;9196;9423;9038;8945;8986;9270;9186;9254;9375;9730;9502;9228;8268;8428;8678
