"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"1247 Askøy";"Jordbruksareal i drift";6121;5887;4895;4261;4291;4074;4008;3921;3487;3459;3227;3516;3445;3307;2677;2798;3037;3056;3007;2735;2805;2543
"1251 Vaksdal";"Jordbruksareal i drift";8038;7297;7157;7147;7393;7297;7149;7119;6949;6667;6778;6888;6904;6864;6621;6590;6415;6316;6178;6245;6212;6106
"1252 Modalen";"Jordbruksareal i drift";2538;2348;2145;1979;1994;1987;1957;1962;1845;1802;1754;1849;..;1633;..;1761;1648;1621;1705;..;..;..
"1253 Osterøy";"Jordbruksareal i drift";26748;23336;25190;24158;23977;24393;23897;22996;22393;22519;22261;22157;22008;22126;21822;21414;20946;19565;19484;19872;20262;20710
"1256 Meland";"Jordbruksareal i drift";11915;9775;10319;10071;10068;10228;10280;10175;10959;10504;10097;9264;9522;9250;9196;9533;9566;9628;9960;9837;9807;9467
"1259 Øygarden";"Jordbruksareal i drift";5223;5283;3388;3492;3581;2965;2904;2946;2736;2424;2501;2619;2197;2409;2293;2409;2496;2530;..;2576;2606;2827
"1260 Radøy";"Jordbruksareal i drift";27948;25403;25167;26495;27206;27573;27770;27494;27092;26873;26393;25264;25700;25910;25659;25523;25564;25892;26018;26042;26157;26159
"1263 Lindås";"Jordbruksareal i drift";41427;35722;35303;35205;35755;35410;35086;34929;34413;34405;34146;32529;33501;33469;33987;33781;34144;34248;33278;33597;33601;34755
"1264 Austrheim";"Jordbruksareal i drift";8072;6266;5338;5223;5293;5390;5146;5456;5050;4490;4454;4422;4506;4761;4820;4835;4895;4818;4867;5099;5022;4994
"1265 Fedje";"Jordbruksareal i drift";799;337;249;316;316;316;316;316;345;311;283;..;..;..;..;..;..;..;..;..;..;..
